************************************************************************************************************************************
*    Row   *        ix *      valx *       iQQ *     valQQ *        iz *      valz *      iPT2 *    valPT2 *        Ac *       Acc *
*      261 *         3 * 0.4499999 *         0 *       2.5 *         4 * 0.5500000 *         1 * 0.3000000 * -0.022261 * 0.0054716 *
*      265 *         3 * 0.4499999 *         0 *       2.5 *         5 * 0.6499999 *         0 * 0.1000000 * -0.012521 * 0.0011487 *
*      266 *         3 * 0.4499999 *         0 *       2.5 *         5 * 0.6499999 *         1 * 0.3000000 * -0.021688 * 0.0034462 *
*      270 *         3 * 0.4499999 *         0 *       2.5 *         6 *      0.75 *         0 * 0.1000000 * -0.012589 * 0.0005899 *
*      280 *         3 * 0.4499999 *         1 * 3.0999999 *         0 * 0.1500000 *         0 * 0.1000000 * -0.028714 * 0.0056752 *
*      285 *         3 * 0.4499999 *         1 * 3.0999999 *         1 *      0.25 *         0 * 0.1000000 * -0.022392 * 0.0056733 *
*      286 *         3 * 0.4499999 *         1 * 3.0999999 *         1 *      0.25 *         1 * 0.3000000 * -0.038785 * 0.0170208 *
*      290 *         3 * 0.4499999 *         1 * 3.0999999 *         2 * 0.3499999 *         0 * 0.1000000 * -0.019844 * 0.0051006 *
*      291 *         3 * 0.4499999 *         1 * 3.0999999 *         2 * 0.3499999 *         1 * 0.3000000 * -0.034372 * 0.0153024 *
*      292 *         3 * 0.4499999 *         1 * 3.0999999 *         2 * 0.3499999 *         2 *       0.5 * -0.044374 * 0.0255039 *
*      295 *         3 * 0.4499999 *         1 * 3.0999999 *         3 * 0.4499999 *         0 * 0.1000000 * -0.018673 * 0.0041840 *
*      296 *         3 * 0.4499999 *         1 * 3.0999999 *         3 * 0.4499999 *         1 * 0.3000000 * -0.032343 * 0.0125526 *
*      297 *         3 * 0.4499999 *         1 * 3.0999999 *         3 * 0.4499999 *         2 *       0.5 * -0.041754 * 0.0209208 *
*      300 *         3 * 0.4499999 *         1 * 3.0999999 *         4 * 0.5500000 *         0 * 0.1000000 * -0.018009 * 0.0030648 *
*      301 *         3 * 0.4499999 *         1 * 3.0999999 *         4 * 0.5500000 *         1 * 0.3000000 * -0.031193 * 0.0091949 *
*      302 *         3 * 0.4499999 *         1 * 3.0999999 *         4 * 0.5500000 *         2 *       0.5 * -0.040270 * 0.0153248 *
*      305 *         3 * 0.4499999 *         1 * 3.0999999 *         5 * 0.6499999 *         0 * 0.1000000 * -0.017695 * 0.0019467 *
*      306 *         3 * 0.4499999 *         1 * 3.0999999 *         5 * 0.6499999 *         1 * 0.3000000 * -0.030649 * 0.0058405 *
*      307 *         3 * 0.4499999 *         1 * 3.0999999 *         5 * 0.6499999 *         2 *       0.5 * -0.039568 * 0.0097341 *
*      310 *         3 * 0.4499999 *         1 * 3.0999999 *         6 *      0.75 *         0 * 0.1000000 * -0.017985 * 0.0010107 *
*      311 *         3 * 0.4499999 *         1 * 3.0999999 *         6 *      0.75 *         1 * 0.3000000 * -0.031152 * 0.0030322 *
*      315 *         3 * 0.4499999 *         1 * 3.0999999 *         7 * 0.8500000 *         0 * 0.1000000 * -0.019580 * 0.0003589 *
*      320 *         4 * 0.5500000 *         0 *         4 *         0 * 0.1500000 *         0 * 0.1000000 * -0.020221 * 0.0048953 *
*      325 *         4 * 0.5500000 *         0 *         4 *         1 *      0.25 *         0 * 0.1000000 * -0.015958 * 0.0049523 *
*      326 *         4 * 0.5500000 *         0 *         4 *         1 *      0.25 *         1 * 0.3000000 * -0.027641 * 0.0148576 *
*      330 *         4 * 0.5500000 *         0 *         4 *         2 * 0.3499999 *         0 * 0.1000000 * -0.014271 * 0.0044932 *
*      331 *         4 * 0.5500000 *         0 *         4 *         2 * 0.3499999 *         1 * 0.3000000 * -0.024720 * 0.0134802 *
*      335 *         4 * 0.5500000 *         0 *         4 *         3 * 0.4499999 *         0 * 0.1000000 * -0.013529 * 0.0037131 *
*      336 *         4 * 0.5500000 *         0 *         4 *         3 * 0.4499999 *         1 * 0.3000000 * -0.023433 * 0.0111397 *
*      337 *         4 * 0.5500000 *         0 *         4 *         3 * 0.4499999 *         2 *       0.5 * -0.030252 * 0.0185661 *
*      340 *         4 * 0.5500000 *         0 *         4 *         4 * 0.5500000 *         0 * 0.1000000 * -0.013140 * 0.0027391 *
*      341 *         4 * 0.5500000 *         0 *         4 *         4 * 0.5500000 *         1 * 0.3000000 * -0.022760 * 0.0082179 *
*      345 *         4 * 0.5500000 *         0 *         4 *         5 * 0.6499999 *         0 * 0.1000000 * -0.013015 * 0.0017538 *
